POC,"Pos(x,y)",Block_size(w*h),SplitSeries
0,"192,0",4*4,70288417
0,"192,4",4*4,70288417
0,"196,0",4*4,70288417
0,"196,4",4*4,70288417
0,"200,0",8*4,2130977
0,"200,4",8*4,2130977
0,"192,8",4*4,70288417
0,"192,12",4*4,70288417
0,"196,8",4*8,3179553
0,"200,8",4*4,70288417
0,"200,12",4*4,70288417
0,"204,8",4*8,3179553
0,"208,0",4*4,69370913
0,"208,4",4*4,69370913
0,"208,8",4*8,2262049
0,"212,0",8*8,2262049
0,"212,8",8*4,69370913
0,"212,12",8*4,69370913
0,"220,0",4*4,69370913
0,"220,4",4*4,69370913
0,"220,8",4*8,2262049
0,"192,16",4*8,102859809
0,"196,16",4*8,102859809
0,"192,24",4*8,102859809
0,"196,24",4*8,102859809
0,"200,16",8*4,4293665
0,"200,20",4*8,104956961
0,"204,20",4*8,104956961
0,"200,28",8*4,4293665
0,"208,16",4*4,5375009
0,"212,16",8*4,5375009
0,"220,16",4*4,5375009
0,"208,20",4*8,103941153
0,"212,20",4*8,103941153
0,"216,20",8*8,3277857
0,"208,28",8*4,3277857
0,"216,28",8*4,3277857
0,"224,0",8*4,2130977
0,"224,4",4*4,102794273
0,"228,4",4*4,102794273
0,"232,0",8*4,2130977
0,"232,4",4*4,102794273
0,"236,4",4*4,102794273
0,"224,8",4*8,3179553
0,"228,8",4*4,70288417
0,"228,12",4*4,70288417
0,"232,8",4*4,102794273
0,"236,8",4*4,102794273
0,"232,12",8*4,2130977
0,"240,0",16*4,2163745
0,"240,4",4*4,169935905
0,"244,4",8*4,169935905
0,"252,4",4*4,169935905
0,"240,8",4*8,5309473
0,"244,8",8*8,5309473
0,"252,8",4*8,5309473
0,"224,16",16*4,2163745
0,"224,20",4*4,169935905
0,"228,20",8*4,169935905
0,"236,20",4*4,169935905
0,"224,24",16*8,66593
0,"240,16",4*4,72418337
0,"240,20",4*4,72418337
0,"244,16",8*8,5309473
0,"252,16",4*8,5309473
0,"240,24",8*8,3212321
0,"248,24",8*4,70321185
0,"248,28",8*4,70321185
